user_id,char,key_code,hold_time,latency_time,flight_time,key_down_time,key_up_time,event_index,session_id,wpm
harshith,j,106,0.06603,0.45906,0.38898,332701.2245,332701.2905,16,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,u,117,0.05968,0.19797,0.13195,332701.4224,332701.4821,17,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,m,109,0.07462,0.2136,0.15392,332701.636,332701.7107,18,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,p,112,0.06394,0.25447,0.17985,332701.8905,332701.9544,19,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,s,115,0.05546,0.24368,0.17974,332702.1342,332702.1896,20,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,o,111,0.07452,0.59207,0.5366,332702.7263,332702.8008,21,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,v,118,0.05962,0.26829,0.19376,332702.9945,332703.0542,22,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,e,101,0.08089,0.16915,0.10953,332703.1637,332703.2446,23,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,r,114,0.06471,0.20914,0.12826,332703.3728,332703.4375,24,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,t,116,0.06,0.39295,0.32824,332703.7658,332703.8258,25,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,h,104,0.0694,0.19939,0.13938,332703.9652,332704.0346,26,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,e,101,0.05606,0.17863,0.10923,332704.1438,332704.1999,27,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,l,108,0.05522,0.44769,0.39163,332704.5915,332704.6467,28,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,a,97,0.06987,0.17422,0.119,332704.7657,332704.8356,29,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,z,122,0.07007,0.2636,0.19373,332705.0293,332705.0994,30,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,y,121,0.0547,0.17551,0.10544,332705.2048,332705.2595,31,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,d,100,0.06014,0.41659,0.3619,332705.6214,332705.6816,32,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,o,111,0.05477,0.15967,0.09953,332705.7811,332705.8359,33,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,g,103,0.05499,0.26862,0.21385,332706.0497,332706.1047,34,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,t,116,0.05461,0,0,332892.6683,332892.7229,0,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,h,104,0.07003,0.21331,0.15871,332892.8817,332892.9517,1,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,e,101,0.05037,0.16913,0.0991,332893.0508,332893.1011,2,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,q,113,0.06913,0.39388,0.34351,332893.4447,332893.5138,3,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,u,117,0.05448,0.19877,0.12963,332893.6434,332893.6979,4,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,i,105,0.06439,0.18866,0.13417,332893.8321,332893.8965,5,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,c,99,0.05995,0.21403,0.14964,332894.0461,332894.1061,6,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,k,107,0.06529,0.15927,0.09932,332894.2054,332894.2707,7,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,b,98,0.05931,0.45299,0.38769,332894.6584,332894.7177,8,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,r,114,0.06008,0.26803,0.20872,332894.9264,332894.9865,9,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,o,111,0.05024,0.2289,0.16883,332895.1553,332895.2055,10,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,w,119,0.08453,0.18949,0.13924,332895.3448,332895.4293,11,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,n,110,0.05924,0.18898,0.10445,332895.5338,332895.593,12,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,f,102,0.05524,0.35783,0.29859,332895.8916,332895.9468,13,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,o,111,0.03936,0.17469,0.11945,332896.0663,332896.1056,14,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,x,120,0.06855,0.24465,0.20529,332896.3109,332896.3795,15,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,j,106,0.06453,0.35711,0.28855,332896.668,332896.7326,16,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,u,117,0.07439,0.18946,0.12493,332896.8575,332896.9319,17,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,m,109,0.07445,0.23367,0.15928,332897.0912,332897.1656,18,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,p,112,0.05937,0.24358,0.16914,332897.3348,332897.3941,19,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,s,115,0.05977,0.22392,0.16455,332897.5587,332897.6184,20,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,o,111,0.06954,0.49742,0.43765,332898.0561,332898.1256,21,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
harshith,v,118,0.05022,0.28826,0.21871,332898.3444,332898.3946,22,27abc1b3-f358-4ad8-ad48-3992ac4e8ca9,59.33
